text,label
Water evaporates from oceans then condenses into clouds and falls as rain,process
The water cycle begins with evaporation followed by condensation and precipitation,process
Plants produce food through photosynthesis starting with sunlight absorption,process
A seed germinates grows into a plant and produces flowers,process
Blood circulates through the heart lungs and body tissues,process
Food moves from mouth to stomach and then to intestines during digestion,process
Data is collected processed analyzed and stored in a database,process
A program is written compiled executed and debugged,process
Milk is heated cooled and fermented to produce yogurt,process
Electric current flows through a conductor producing heat,process
Rainwater collects flows into rivers and reaches the ocean,process
An email is written sent through a server and delivered to the receiver,process
Water freezes melts and evaporates under different temperatures,process
Fuel burns producing energy and exhaust gases,process
A butterfly develops from egg to larva to pupa and then adult,process
Clouds form when moist air rises cools and condenses,process
The printing process includes designing formatting and printing documents,process
Water is filtered purified and distributed to homes,process
Students attend classes study and take examinations,process
A rocket launches travels through space and enters orbit,process
A computer system consists of hardware software and users,hierarchical
Animals are divided into mammals birds reptiles amphibians and fish,hierarchical
Plants are categorized into herbs shrubs and trees,hierarchical
A university contains departments faculty and students,hierarchical
A network includes routers switches and servers,hierarchical
A computer includes CPU memory storage and input devices,hierarchical
Vehicles are classified into cars buses trucks and bikes,hierarchical
Books are organized into chapters sections and topics,hierarchical
The solar system includes planets moons and asteroids,hierarchical
A company has departments managers and employees,hierarchical
Languages are divided into spoken written and programming languages,hierarchical
Food groups include fruits vegetables grains and proteins,hierarchical
An operating system consists of kernel services and user interface,hierarchical
A school includes classrooms teachers and administrative staff,hierarchical
The internet consists of networks servers and protocols,hierarchical
A smartphone includes processor display battery and sensors,hierarchical
A building contains floors rooms and facilities,hierarchical
A library organizes books into categories and sections,hierarchical
Mathematics includes algebra geometry and calculus,hierarchical
Transport systems include road rail air and sea networks,hierarchical
Red team attacks systems while blue team defends them,concept
Supply and demand influence market prices,concept
Teachers and students interact to improve learning outcomes,concept
Predators affect prey populations in ecosystems,concept
Gravity influences planetary motion,concept
Temperature affects the rate of chemical reactions,concept
Light enables plants to perform photosynthesis,concept
Vaccines help the immune system recognize diseases,concept
Wind influences ocean currents,concept
Technology impacts communication and society,concept
Education improves employment opportunities,concept
Stress affects human health and wellbeing,concept
Advertising influences consumer behavior,concept
Pollution impacts environmental health,concept
Exercise improves physical fitness and mental health,concept
Rainfall influences agricultural productivity,concept
Government policies affect economic growth,concept
Social media influences public opinion,concept
Innovation drives technological advancement,concept
Urbanization affects biodiversity and ecosystems,concept