grade,subject,chapter,unit_type,unit_name,source_file,source_page
6,science,Unknown Chapter,Heading,1.1.2 Derived,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.2 Area,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.1 What,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Example/Problem,Problem 1.1,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Descriptive Unit,Paragraph,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.2.1 Area of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.2 Derived,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Table,Table 1.2 Derived,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.1 Fundamental,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.1.1 Fundamental,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.3 Area of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.2.2 Area of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Table,Table 1.1 Fundamental,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Table,Table 1.3 Area of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Activity,ACTIVITY 1,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.2 Find,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.3 Volume,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Example/Problem,Problem 1.2,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.3.1 Volume of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.4 Volume of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Table,Table 1.4 Volume of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Activity,ACTIVITY 2,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.3 Find,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.3.2 Volume of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Example/Problem,Problem 1.3,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.3.3 Volume of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Activity,ACTIVITY 3,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Activity,ACTIVITY 4,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Activity,activity 4,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.4.1 Density of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.4 Density,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.5 Measuring,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.5.1 Astronomical,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.5 Density of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Example/Problem,Problem 1.4,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Table,Table 1.5 Density of,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.4 A solid,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.5 A box,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.6 A sphere,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Example/Problem,Problem 1.5,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Example/Problem,Problem 1.6,class6_science_term1_english_textbook.pdf,N/A
6,science,Unknown Chapter,Heading,1.5.2 Light,class6_science_term1_english_textbook.pdf,N/A
6,science,Front Matter / Introduction,Descriptive Unit,Paragraph,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity Instruction,Activity Step,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity,Activity 1,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity,activity 1,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity,Activity 2,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity,Activity 3,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity,Activity 4,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity,Activity 5,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.1 Motion,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity,Activity 6,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity,Activity 7,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.3 Science,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Concept/Law,"There are some forces which 
can even have effect",Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.1 Physical,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.3 Diffusion,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.6 Separation of,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.7 Food,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity,Activity 8,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.1 Plant,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.3 Plant,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.1 Biodiversity,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Concept/Law,"The lizard 
 on the ground 
with its claw",Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.1 Components of,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.2 Health,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Activity,Activity 9,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.3 Introduction to,Class_6_Science_English_Science_-_Term_1_-_2025.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.1 Sources of,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Concept/Law,"work 
on this principle",Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.2 Heat,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.3 Hot,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.4 Temperature,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.5 Heat,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.6 Flow of,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.7 Expansion in,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.8 Linear,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.9 Uses of,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.10 Thermal,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.11 Numerical,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Concept/Law,"Remember 
that the effect",Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.1 Sources of,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.2 Cell,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.3 Electric,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.4 Conductors,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Concept/Law,Change is the law,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.1 Classification of,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.1.1 Slow,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.1.2 Reversible,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.1.3 Physical,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.1.4 Desirable,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.1.5 Natural,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.1 Atmosphere,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.2 Experimental,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.3 Composition of,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.4 Burning,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.5 Importance of,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.6 Uses of,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.1 The,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.1.1 Discovery of,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.2 The,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.2.1 Size of,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.3 TYPES,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.3.1 Prokaryotic,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.3.2 Eukaryotic,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.1 Skeletal,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.2 Muscular,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.3 Digestive,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.4 Respiratory,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.5 Circulatory,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.6 Nervous,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.7 Sense,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.8 Endocrine,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.9 Excretory,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,7.1.1 Parts of a,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,7.1.2 Memory,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,7.1.3 Connecting,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Heading,7.1.4 Wireless,Class_6_Science_English_Science_-_Term_2.pdf,N/A
6,science,Front Matter / Introduction,Concept/Law,To explain the principle,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.1 Discovery of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.2 Magnet of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.3 Magnetic,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.4 Magnetic,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.5 Finding,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.6 Magnetic,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Concept/Law,As a rule,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.7 Properties of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.8 Do,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Activity,activity 2,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.9 Storage of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.10 Usage of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,1.11 Science,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.1 Where do we,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.2 Where,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.4 Composition of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Activity,"Activity 
3",Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.5 Water,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.6 Natural,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.7 Conservation of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.8 Importance of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,2.9 Water,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Concept/Law,"He also 
studied Law",Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Concept/Law,studied Law,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.1 Soaps,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.2 Fertilizers,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.3 Cement,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.4 Gypsum,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.5 Epsom,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.6 Plaster of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.7 Phenol,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,3.8 Adhesives,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.1 The,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.2 Food,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.3 Waste,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.4 Biodegradable,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.5 Solid,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.5 Pollution,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.6 Types of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.6.1 Air,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.6.2 Water,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,4.6.4 Noise,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.1 Plants as,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.2 Spices,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.3 Medicinal,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.4 Fibre,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.5 Timber,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.6 Ornamental,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,5.7 Interrelationship,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.1 Hardware,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.2 Software,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.3 Types of,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.3.1 System,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.3.2 Application,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.4 System,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.4.1 Free,Class_6_Science_English_Science_-_Term_3.pdf,N/A
6,science,Front Matter / Introduction,Heading,6.4.2 Paid,Class_6_Science_English_Science_-_Term_3.pdf,N/A
